row_number,source,author,title,description,url,category,coverage
2,Wired,Makena Kelly,Donald Trump's Win Cements a New Era for Campaigning Online,"On the ground, the Trump campaign was at a disadvantage to Kamala Harris’s massive canvassing operations. But many misunderstood the power—and purpose—of influencer marketing campaigns.",https://www.wired.com/story/donald-trump-online-campaign-era/,Campaign Strategies and Public Engagement,Neutral
7,Wired,Tess Owen,Far-Right Donald Trump Supporters Celebrate His Victory with Violent Memes and Calls for Executions,"“Many many many executions are warranted,” one Trump supporter wrote on Truth Social. “These traitors are a terminal cancer that MUST BE completely eradicated to make America healthy again.”",https://www.wired.com/story/donald-trump-far-right-supporters-violent-memes/,Campaign Strategies and Public Engagement,Neutral
9,Wired,David Gilbert,Donald Trump's New 'Border Czar' Defended Child Separation at Festival Held by Gun-Worshipping Sect,"Tom Homan, who helped usher in the family separation policy during Trump’s first term, is promising to enact the ""biggest deportation operation in the history of the United States.""",https://www.wired.com/story/tom-homan-trump-border-czar-child-separation-policies/,Campaign Strategies and Public Engagement,Neutral
13,Business Insider,ggoodwin@businessinsider.com (Grace Eliza Goodwin),Company executives are speaking out on Election Day: Starbucks' Howard Schultz calls for a peaceful transition of power,"Business leaders including Howard Schultz, Elon Musk, and Reid Hoffman weigh in on Election Day for Donald Trump, Kamala Harris — or simply peace.",https://www.businessinsider.com/election-day-executives-speak-trump-harris-starbucks-meta-musk-2024-11,Campaign Strategies and Public Engagement,Neutral
18,Wired,Makena Kelly,A Running List of the Tech CEOs Donald Trump Claims Are Calling Him to Suck Up,"Some of the most powerful people in Silicon Valley appear to be quietly sitting out the presidential election cycle. But Trump says that in private, it's a different story.",https://www.wired.com/story/tech-ceos-trump-claims-are-courting-him/,Campaign Strategies and Public Engagement,Neutral
19,Business Insider,Geoff Weiss,The business leaders that Kamala Harris could recruit for her Cabinet,"While Mark Cuban and Uber's Tony West may be out of contention, Harris has many powerful ties in the business world.",https://www.businessinsider.com/business-leaders-that-kamala-harris-could-recruit-for-cabinet-2024-10,Campaign Strategies and Public Engagement,Neutral
21,Business Insider,ktan@businessinsider.com (Kwan Wei Kevin Tan),"Judith Kent, wife of JPMorgan CEO Jamie Dimon, went door to door in Michigan canvassing voters for Kamala Harris","Kent's husband, Jamie Dimon, hasn't publicly endorsed either presidential candidate this election.",https://www.businessinsider.com/judith-dimon-door-to-door-michigan-canvassing-votes-kamala-harris-2024-11,Campaign Strategies and Public Engagement,Positive
22,Business Insider,Eve Crosbie,Chloë Grace Moretz addresses her sexuality for the first time as she endorses Kamala Harris,"The actor, known for her roles in films such as ""Kick-Ass,"" said she supported legal protections for the LGBTQ+ community ""as a gay woman.""",https://www.businessinsider.com/chloe-grace-moretz-sexuality-gay-woman-supports-kamala-harris-election-2024-11,Campaign Strategies and Public Engagement,Positive
25,Wired,Angela Watercutter,‘I'm Going to Bluesky’ Is the New ‘I’m Moving to Canada’,Users frustrated with Elon Musk’s handling of X and closeness to president-elect Donald Trump are fleeing to Bluesky—an easier migration than leaving the US.,https://www.wired.com/story/im-going-to-bluesky-is-the-new-im-moving-to-canada/,Campaign Strategies and Public Engagement,Neutral
28,Business Insider,Geoff Weiss,Washington Post reports that owner Jeff Bezos stopped it from endorsing Kamala Harris,"Former Washington Post executive editor Marty Baron called the decision ""a moment of darkness that will leave democracy as a casualty.""",https://www.businessinsider.com/jeff-bezos-owned-washington-post-wont-endorse-presidential-candidate-2024-10,Campaign Strategies and Public Engagement,Neutral
