row_number,source,author,title,description,url,category,coverage
4,Business Insider,akrause@insider.com (Amanda Krause),How Kamala Harris' style has changed throughout her career,"Kamala Harris has been rocking her signature style for decades. It usually includes pantsuits, Converse sneakers, and pearl jewelry.",https://www.businessinsider.com/kamala-harris-style-evolution-throughout-career-2024-10,Cultural Influence and Public Perception,Neutral
20,Time,Camille Davis / Made by History,Kamala Harris Is Dressing for the Presidency,"By wearing modern versions of a cravat, Harris is tapping into a historical language that evokes democratic principles and authority.",https://time.com/7096107/harris-candidate-fashion-cravat/,Cultural Influence and Public Perception,Positive
32,Time,TIME Staff,Read Vice President Kamala Harris’ Full Concession Speech,Vice President delivered her concession speech at her alma mater Howard University.,https://time.com/7173617/kamala-harris-concession-speech-full-transcript/,Cultural Influence and Public Perception,Neutral
51,ABC News,"Kelsey Walsh, Lalee Ibssa, Soo Rin Kim",Melania Trump defends her husband: 'He is not Hitler',"Donald Trump has falsely claimed that Kamala Harris called him ""Hitler.""",https://abcnews.go.com/Politics/melania-trump-defends-husband-hitler/story?id=115257844,Cultural Influence and Public Perception,Neutral
54,ABC News,"Mary Bruce, Alexandra Hutzler",Harris distances herself from Biden's 'garbage' comment,"Kamala Harris continues to distance herself from Biden's ""garbage"" comment, telling ABC News she disagrees ""with any criticism of the people based on who they vote for.""",https://abcnews.go.com/Politics/harris-distances-bidens-garbage-comment-strongly-disagree-criticizing/story?id=115313099,Cultural Influence and Public Perception,Neutral
82,ABC News,Emily Chang,"80 countries have been led by a woman, but not the US","Despite Vice President Kamala Harris' efforts to shatter glass ceilings and become the first woman to be president in the U.S., the office remains solely male-dominated.",https://abcnews.go.com/Politics/80-countries-led-woman-us/story?id=115651816,Cultural Influence and Public Perception,Positive
92,ABC News,Alexandra Hutzler,The 2024 presidential election will be historic no matter who wins,Kamala Harris would be the first woman to serve as commander in chief while Trump would be the second president in history to win a non-consecutive term.,https://abcnews.go.com/Politics/2024-presidential-election-historic-matter-wins/story?id=115359466,Cultural Influence and Public Perception,Positive
102,Business Insider,Alex Bitter,McDonald's is the latest election battleground for Trump and Harris,"Presidential candidates have often invoked McDonald's during their runs for the White House, both as a place to eat and as a place to work.",https://www.businessinsider.com/mcdonalds-is-latest-election-battleground-for-trump-and-harris-2024-10,Cultural Influence and Public Perception,Neutral
109,Business Insider,Rob Price,Silicon Valley's swing toward Trump is real. Here's the data to prove it.,California's San Francisco Bay Area is still solidly blue — but less than it used to be.,https://www.businessinsider.com/silicon-valley-swing-toward-trump-voting-data-2024-11,Cultural Influence and Public Perception,Negative
110,Wired,James Fallows,"After the Election, California (Yes, That Hellscape) Will Keep Moving the World Forward No Matter What","The state has been written off as a woke wasteland. But it's still inventing the future on a bunch of frontiers nobody's talking about. Even if Trump wins, it will remain a golden, global example.",https://www.wired.com/story/california-will-keep-moving-the-world-forward/,Cultural Influence and Public Perception,Neutral
132,Time,Simmone Shah,The Top Five Campaign Moments on TikTok,"TIME spoke to an expert about the top five moments on TikTok from the presidential campaign, from the Trump McDonald's stunt to the debate.",https://time.com/7160873/trump-harris-2024-campaign-tiktok-viral/,Cultural Influence and Public Perception,Neutral
145,Business Insider,ggoodwin@businessinsider.com (Grace Eliza Goodwin),"Sales of 'The Handmaid's Tale' rose nearly 7,000% this week on Amazon — but 'Melania' takes the No. 1 bestseller spot","Sales of ""The Handmaid's Tale"" rose sharply on Amazon in the wake of Donald Trump's election, rising to No. 2. Melania Trump's memoir was No. 1.",https://www.businessinsider.com/handmaids-tale-book-sales-rise-melania-after-trump-win-election-2024-11,Cultural Influence and Public Perception,Neutral
157,Buzzfeed,Matt Stopera,A Cameraman's Extremely Shady Video Showing Donald Trump's Actual Crowd Size Is Going Viral,They knew exactly what they were doing here.,https://www.buzzfeed.com/mjs538/camera-of-trumps-crowd,Cultural Influence and Public Perception,Neutral
159,ABC News,"Kate Walter, Meghan Mistry",Chalamagne Tha God: 'Dinner table issues' were at the top of voters' minds,"In the aftermath of Harris’ failed campaign, Charlamagne Tha God called for unity and pointed to voters’ frustrations over the economy and safety as decisive.",https://abcnews.go.com/Politics/chalamagne-tha-god-dinner-table-issues-top-voters/story?id=115699226,Cultural Influence and Public Perception,Negative
161,Buzzfeed,Matt Stopera,The Internet Is Praising Millennials And Roasting Gen Z For How They Voted In The 2024 Election,"""They got Obama elected twice like they’re so much better than my generation.""View Entire Post ›",https://www.buzzfeed.com/mjs538/gen-z-election-2024,Cultural Influence and Public Perception,Negative
166,Business Insider,Brent D. Griffiths,Trump praises Elon Musk in election night speech: 'A star is born',"Donald Trump called Tesla CEO Elon Musk ""an amazing guy"" as Trump neared the possibility of returning to the White House.",https://www.businessinsider.com/trump-praises-elon-musk-a-star-is-born-2024-11,Cultural Influence and Public Perception,Neutral
171,Time,Chad de Guzman,"Donald Trump’s Long Love for McDonald’s, Explained",The former President’s McDonald’s campaign stop caps a yearslong fascination with the fast food chain.,https://time.com/7095424/donald-trump-mcdonalds-love-campaign-kamala-harris-work-history/,Cultural Influence and Public Perception,Neutral
173,ABC News,"Gabriella Abdul-Hakim, Will McDuffie, Lalee Ibssa, Isabella Murray, Kelsey Walsh, Soo Rin Kim",Trump mocks Harris' story from behind the fryer at McDonald's,Former President Donald Trump worked the fryer at a McDonald's on Sunday as he continues to mock his Democratic opponent's claims she worked at the fast food restaurant.,https://abcnews.go.com/Politics/trump-mocks-harris-story-fryer-mcdonalds/story?id=114971804,Cultural Influence and Public Perception,Negative
181,Time,Chad de Guzman,A Brief History of Tulsi Gabbard’s Evolution—From Democratic ‘Star’ to MAGA Republican,Former ‘rising star’ Democrat Tulsi Gabbard’s announcement that she’s joining the GOP has been years in the making.,https://time.com/7096376/tulsi-gabbard-democrat-republican-political-evolution-history-trump/,Cultural Influence and Public Perception,Neutral
196,Time,Philip Elliott,Biden and Trump Prepare for the Most Cringe Meeting in Politics,There are few meetings presidents dread more than the Oval Office photo-op with the person who's going to replace him.,https://time.com/7175559/donald-trump-oval-office-biden-meeting/,Cultural Influence and Public Perception,Neutral
200,Business Insider,Jordan Page,I quit my job at a Fortune 500 company to embrace 'Brat summer.' My friends were concerned.,"Jordan Page quit his job after listening to Charli XCX's ""Brat"". He said the album inspired him leave a position that was making him miserable.",https://www.businessinsider.com/quit-job-brat-summer-charli-xcx-work-unhappy-2024-10,Cultural Influence and Public Perception,Neutral
