row_number,source,author,title,description,url,category,coverage
29,Business Insider,Eve Crosbie,Kamala Harris mocks Donald Trump as she joins long list of politicians to cameo on 'Saturday Night Live',"During her cameo, Harris appeared to poke fun at a recent video of Trump struggling to climb into a garbage truck at a campaign event.",https://www.businessinsider.com/kamala-harris-mocks-donald-trump-surprise-saturday-night-live-cameo-2024-11,Political Disputes and Controversies,Neutral
49,Business Insider,"Havovi Cooper,Lilian Manansala,Erica Berenstein",How political violence has rocked US elections,"Attacks and intimidation surrounding the elections aren't new. We take a look at such incidents in the US, from the present day to the 1800s.",https://www.businessinsider.com/election-political-violence-us-history-ballot-boxes-politics-2024-11,Political Disputes and Controversies,Neutral
70,ABC News,Tal Axelrod,Harris revives message around democracy as Trump escalates rhetoric. Will it work?,"Kamala Harris shunted Joe Biden's messaging on democracy when she took over as Democrats' nominee, but now she's reviving attacks amid Donald Trump's escalating rhetoric.",https://abcnews.go.com/Politics/harris-revives-message-democracy-trump-escalates-rhetoric-work/story?id=114908724,Political Disputes and Controversies,Neutral
88,ABC News,Bill Hutchinson,Harris seizes on Trump's pledge to protect women 'whether they like it or not',"Vice President Kamala Harris slammed Donald Trump on Thursday, saying the former president's pledge to protect women was ""offensive to everybody.""",https://abcnews.go.com/Politics/harris-seizes-trumps-pledge-protect-women/story?id=115349240,Political Disputes and Controversies,Neutral
89,ABC News,Kiara Alfonseca,What is fascism? A look at the term being hurled at Donald Trump,"Former President Donald Trump has been hit with claims that he's a ""fascist"" from his former chief of staff,f John Kelly, and his opponent, Kamala Harris.",https://abcnews.go.com/Politics/fascism-term-hurled-donald-trump/story?id=115101505,Political Disputes and Controversies,Positive
90,ABC News,"Gary Langer, Steven Sparks",Half of Americans see Donald Trump as a fascist: POLL,"Half the country sees Donald Trump as a fascist in a new ABC News/Ipsos poll, amplifying concerns recently raised by Kamala Harris and past Trump administration members.",https://abcnews.go.com/Politics/donald-trump-fascist-concerns-poll/story?id=115083795,Political Disputes and Controversies,Positive
106,ABC News,ABC News,WATCH: Trump suggests he can’t lose fair election,"Former President Donald Trump cast doubt on the election results if he loses and falsely questioned Vice President Kamala Harris' racial and ethnic identity during an interview with the ""PBD Podcast.""",https://abcnews.go.com/GMA/News/video/trump-suggests-lose-fair-election-114920561,Political Disputes and Controversies,Negative
113,Business Insider,Chris Panella,"A worsening kind of Russian warfare was on display in the US presidential election, but it's a much bigger problem","Harris' quick and peaceful concession to Trump may deny US adversaries opportunities to stoke unrest in the months ahead, an expert said.",https://www.businessinsider.com/worsening-russian-hybrid-warfare-in-us-european-elections-2024-11,Political Disputes and Controversies,Positive
120,ABC News,Lauren Peller,Pelosi blames Harris' loss on Biden's late exit and no open Democratic primary,She also blasted Bernie Sanders in an interview with The New York Times.,https://abcnews.go.com/Politics/pelosi-blames-harris-loss-bidens-late-exit-open/story?id=115652125,Political Disputes and Controversies,Negative
121,Time,Brian Bennett,Harris: Trump Is a ‘Fascist’ Who Will Use Military For Personal Vendettas,"Harris said Trump would use the military “to carry out his personal and political vendettas"" in a rare speech from her official residence in Washington.",https://time.com/7096898/harris-trump-facist-speech/,Political Disputes and Controversies,Positive
